timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723282877962,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282877548,448,HTTP Request,200,OK,Thread Group 1-3,text,false,,1224,119,3,3,https://www.boredapi.com,448,0,300
1723282877996,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-3,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282877578,461,HTTP Request,200,OK,Thread Group 1-1,text,false,,1224,119,3,3,https://www.boredapi.com,461,0,306
1723282878039,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282877963,456,HTTP Request,200,OK,Thread Group 1-2,text,false,,1224,119,3,3,https://www.boredapi.com,456,0,302
1723282878420,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282877997,470,HTTP Request,200,OK,Thread Group 1-3,text,false,,1224,119,3,3,https://www.boredapi.com,470,0,316
1723282878467,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-3,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282878040,447,HTTP Request,200,OK,Thread Group 1-1,text,false,,1224,119,3,3,https://www.boredapi.com,447,0,300
1723282878487,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282878420,463,HTTP Request,200,OK,Thread Group 1-2,text,false,,1220,119,3,3,https://www.boredapi.com,463,0,308
1723282878883,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,3,3,https://www.boredapi.com,0,0,0
1723282878468,454,HTTP Request,200,OK,Thread Group 1-3,text,false,,1220,119,4,4,https://www.boredapi.com,454,0,303
1723282878922,1,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-3,text,false,,2097,0,4,4,https://www.boredapi.com,0,0,0
1723282878488,473,HTTP Request,200,OK,Thread Group 1-1,text,false,,1220,119,4,4,https://www.boredapi.com,473,0,317
1723282878961,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-1,text,false,,2097,0,4,4,https://www.boredapi.com,0,0,0
1723282878887,462,HTTP Request,200,OK,Thread Group 1-4,text,false,,1220,119,4,4,https://www.boredapi.com,462,0,309
1723282879349,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-4,text,false,,2097,0,4,4,https://www.boredapi.com,0,0,0
1723282878884,476,HTTP Request,200,OK,Thread Group 1-2,text,false,,1220,119,4,4,https://www.boredapi.com,476,0,318
1723282879360,0,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.boredapi.com:443 failed to respond,Thread Group 1-2,text,false,,2097,0,4,4,https://www.boredapi.com,0,0,0
